Year,Age_15_20,Age_21_29,Age_30_39,Age_40_49,Age_50+,Total,Prop_Age_15_20,Prop_Age_21_29,Prop_Age_30_39,Prop_Age_40_49,Prop_Age_50+
2002,10923,26710,20391,8371,4824,71218,0.1534,0.375,0.2863,0.1175,0.0677
2003,10199,27584,21654,9210,5010,73657,0.1385,0.3745,0.294,0.125,0.068
2004,10011,27359,21877,9973,5268,74488,0.1344,0.3673,0.2937,0.1339,0.0707
2005,10138,27273,22007,11068,5704,76190,0.1331,0.358,0.2888,0.1453,0.0749
2006,10443,27512,21960,11881,6186,77982,0.1339,0.3528,0.2816,0.1524,0.0793
2007,11045,27843,21413,12638,6795,79734,0.1385,0.3492,0.2686,0.1585,0.0852
2008,11352,29222,22073,13400,7147,83194,0.1365,0.3513,0.2653,0.1611,0.0859
2009,10892,29386,21699,13866,7548,83391,0.1306,0.3524,0.2602,0.1663,0.0905
2010,10234,29960,22220,14325,8263,85002,0.1204,0.3525,0.2614,0.1685,0.0972
2011,9508,29538,22740,14645,8943,85374,0.1114,0.346,0.2664,0.1715,0.1048
2012,8725,29580,22900,15116,9727,86048,0.1014,0.3438,0.2661,0.1757,0.113
2013,7138,28217,23248,15008,10231,83842,0.0851,0.3365,0.2773,0.179,0.122
2014,6442,28609,24361,15017,11080,85509,0.0753,0.3346,0.2849,0.1756,0.1296
2015,5730,28027,25075,15381,11980,86193,0.0665,0.3252,0.2909,0.1784,0.139
2016,5194,26758,25189,15283,12710,85134,0.061,0.3143,0.2959,0.1795,0.1493
2017,5219,26020,25894,15354,13376,85863,0.0608,0.303,0.3016,0.1788,0.1558
2018,4883,24333,25310,14631,13616,82773,0.059,0.294,0.3058,0.1768,0.1645
2019,4770,23918,25745,14660,13617,82710,0.0577,0.2892,0.3113,0.1772,0.1646
2020,4068,22371,25307,14497,13271,79514,0.0512,0.2813,0.3183,0.1823,0.1669
2021,3883,21530,25211,14569,13131,78324,0.0496,0.2749,0.3219,0.186,0.1676
2022,3573,21301,26446,15504,13835,80659,0.0443,0.2641,0.3279,0.1922,0.1715
2023,3625,21590,28524,17174,14938,85851,0.0422,0.2515,0.3323,0.2,0.174
2024,3354,21381,29339,18175,15620,87869,0.0382,0.2433,0.3339,0.2068,0.1778
