prison,date,incidents
Altcourse,2014-11-01,1
Belmarsh,2020-02-01,1
Birmingham,2000-10-01,1
Birmingham,2022-10-01,1
Brinsford,2020-12-01,1
Bristol,2023-06-01,1
Cardiff,2000-04-01,1
Cardiff,2014-03-01,1
Coldingley,2016-04-01,1
Dartmoor,2015-11-01,1
Doncaster,2015-02-01,1
Dovegate,2024-07-01,1
Feltham,2000-03-01,1
Forest Bank,2008-09-01,1
Fosse Way,2024-08-01,1
Frankland,2011-10-01,1
Full Sutton,2005-09-01,1
Full Sutton,2011-02-01,1
Full Sutton,2019-10-01,1
Grendon / Springhill,2010-08-01,1
Hewell,2013-01-01,1
Hewell,2018-01-01,1
Lancaster Farms,2019-06-01,1
Leeds,2004-04-01,1
Leeds,2017-11-01,1
Leicester,2004-10-01,1
Lewes,2007-04-01,1
Lincoln,2013-10-01,1
Lincoln,2017-09-01,1
Lindholme,2013-12-01,1
Long Lartin,2013-02-01,1
Long Lartin,2015-05-01,1
Long Lartin,2016-06-01,1
Long Lartin,2017-06-01,1
Maidstone,2021-12-01,1
Manchester,2003-09-01,1
Nottingham,2015-12-01,1
Nottingham,2018-07-01,1
Nottingham,2024-07-01,1
Pentonville,2016-10-01,1
Peterborough,2008-09-01,1
Peterborough (Male & Female),2015-12-01,1
Peterborough (Male & Female),2024-07-01,1
Ranby,2015-06-01,1
Risley,2005-11-01,1
Risley,2019-01-01,1
Rochester,2014-10-01,1
Rye Hill,2005-04-01,1
Swaleside (Sheppey),2015-03-01,1
Thameside,2023-02-01,1
Wandsworth,2015-05-01,1
Whatton,2008-08-01,1
Woodhill,2018-06-01,1
Wormwood Scrubs,2018-01-01,1
