prison,date,incidents
Altcourse,2006-01-01,1
Altcourse,2010-07-01,1
Altcourse,2014-08-01,1
Altcourse,2019-09-01,1
Altcourse,2023-02-01,1
Ashfield,2017-02-01,1
Ashfield,2019-09-01,1
Aylesbury,2022-05-01,1
Aylesbury,2023-05-01,2
Aylesbury,2023-10-01,1
Bedford,2024-02-01,1
Belmarsh,2005-01-01,1
Belmarsh,2012-11-01,1
Belmarsh,2013-05-01,1
Belmarsh,2024-04-01,1
Berwyn,2018-03-01,1
Berwyn,2019-11-01,1
Berwyn,2023-08-01,1
Birmingham,2007-03-01,1
Birmingham,2015-04-01,1
Birmingham,2018-03-01,3
Birmingham,2024-06-01,1
Birmingham,2024-08-01,1
Bristol,2004-06-01,1
Bristol,2017-05-01,1
Bristol,2020-09-01,1
Brixton,2004-01-01,1
Brixton,2007-05-01,1
Brixton,2010-07-01,1
Brixton,2010-10-01,1
Brixton,2018-05-01,1
Bronzefield,2010-05-01,1
Bullingdon,2012-08-01,1
Bullingdon,2016-05-01,1
Bullingdon,2020-05-01,1
Bullingdon,2020-07-01,1
Bullingdon,2022-02-01,1
Cardiff,2010-09-01,1
Cardiff,2011-01-01,1
Cardiff,2016-12-01,1
Cardiff,2017-10-01,1
Channings Wood,2013-05-01,1
Channings Wood,2018-01-01,1
Channings Wood,2018-08-01,1
Channings Wood,2019-02-01,1
Chelmsford,2017-03-01,1
Chelmsford,2018-06-01,1
Chelmsford,2018-10-01,1
Chelmsford,2020-07-01,1
Coldingley,2018-08-01,1
Coldingley,2019-10-01,1
Dartmoor,2006-10-01,1
Dartmoor,2015-07-01,1
Doncaster,2004-04-01,1
Doncaster,2008-07-01,1
Doncaster,2010-11-01,1
Doncaster,2011-07-01,1
Doncaster,2020-08-01,1
Doncaster,2020-10-01,1
Dovegate,2009-09-01,1
Dovegate,2017-12-01,1
Dovegate,2018-07-01,1
Dovegate,2018-12-01,1
Dovegate,2020-07-01,1
Durham,2011-01-01,1
Durham,2011-09-01,1
Durham,2018-05-01,1
Durham,2018-08-01,2
Durham,2018-09-01,1
Durham,2020-06-01,1
Durham,2023-02-01,1
Durham,2024-08-01,1
Eastwood Park,2016-06-01,1
Eastwood Park,2018-10-01,1
Eastwood Park,2019-11-01,1
Elmley (Sheppey),2005-10-01,1
Elmley (Sheppey),2017-10-01,1
Elmley (Sheppey),2018-07-01,1
Elmley (Sheppey),2020-05-01,1
Elmley (Sheppey),2023-10-01,1
Elmley (Sheppey),2023-11-01,1
Erlestoke,2014-05-01,1
Erlestoke,2020-11-01,1
Erlestoke,2024-08-01,1
Escort Areas,2003-11-01,1
Escort Areas,2013-01-01,1
Exeter,2012-11-01,1
Exeter,2019-03-01,1
Exeter,2019-06-01,1
Featherstone,2017-09-01,1
