year,age_band,Homicide,Natural Causes,Other,Self-Inflicted,Total
2000,15 to 17,0.0,0.0,0.0,3.0,3.0
2000,18 to 20,1.0,0.0,0.0,13.0,14.0
2000,21 to 24,1.0,0.0,0.0,13.0,14.0
2000,25 to 29,0.0,4.0,0.0,13.0,17.0
2000,30 to 39,1.0,7.0,1.0,26.0,35.0
2000,40 to 49,0.0,10.0,0.0,10.0,20.0
2000,50 to 59,0.0,14.0,0.0,2.0,16.0
2000,60 to 69,0.0,15.0,0.0,0.0,15.0
2000,70 to 79,0.0,9.0,0.0,1.0,10.0
2000,80 to 89,0.0,2.0,0.0,0.0,2.0
2001,15 to 17,0.0,0.0,0.0,3.0,3.0
2001,18 to 20,0.0,0.0,0.0,10.0,10.0
2001,21 to 24,0.0,4.0,0.0,10.0,14.0
2001,25 to 29,0.0,1.0,0.0,13.0,14.0
2001,30 to 39,0.0,11.0,1.0,19.0,31.0
2001,40 to 49,0.0,11.0,0.0,14.0,25.0
2001,50 to 59,0.0,13.0,0.0,3.0,16.0
2001,60 to 69,0.0,13.0,0.0,1.0,14.0
2001,70 to 79,0.0,11.0,0.0,0.0,11.0
2001,80 to 89,0.0,4.0,0.0,0.0,4.0
2002,15 to 17,0.0,0.0,0.0,2.0,2.0
2002,18 to 20,0.0,1.0,0.0,11.0,12.0
2002,21 to 24,0.0,0.0,1.0,14.0,15.0
2002,25 to 29,0.0,5.0,0.0,16.0,21.0
2002,30 to 39,0.0,6.0,1.0,29.0,36.0
2002,40 to 49,0.0,13.0,1.0,16.0,30.0
2002,50 to 59,0.0,18.0,0.0,6.0,24.0
2002,60 to 69,0.0,12.0,0.0,1.0,13.0
2002,70 to 79,0.0,10.0,0.0,0.0,10.0
2002,80 to 89,0.0,1.0,0.0,0.0,1.0
2003,18 to 20,0.0,0.0,0.0,12.0,12.0
2003,21 to 24,0.0,3.0,0.0,14.0,17.0
2003,25 to 29,0.0,2.0,0.0,17.0,19.0
2003,30 to 39,1.0,13.0,0.0,30.0,44.0
2003,40 to 49,0.0,12.0,1.0,16.0,29.0
2003,50 to 59,0.0,20.0,0.0,5.0,25.0
2003,60 to 69,0.0,23.0,0.0,1.0,24.0
2003,70 to 79,0.0,11.0,0.0,0.0,11.0
2003,80 to 89,0.0,2.0,0.0,0.0,2.0
2004,18 to 20,0.0,0.0,1.0,6.0,7.0
2004,21 to 24,0.0,2.0,0.0,12.0,14.0
2004,25 to 29,0.0,2.0,0.0,20.0,22.0
2004,30 to 39,1.0,9.0,5.0,34.0,49.0
2004,40 to 49,0.0,16.0,2.0,18.0,36.0
2004,50 to 59,0.0,28.0,1.0,5.0,34.0
2004,60 to 69,1.0,22.0,0.0,1.0,24.0
2004,70 to 79,0.0,21.0,0.0,0.0,21.0
2004,80 to 89,0.0,1.0,0.0,0.0,1.0
2005,15 to 17,0.0,0.0,0.0,2.0,2.0
2005,18 to 20,0.0,0.0,1.0,10.0,11.0
2005,21 to 24,0.0,2.0,0.0,10.0,12.0
2005,25 to 29,0.0,1.0,1.0,12.0,14.0
2005,30 to 39,0.0,15.0,2.0,28.0,45.0
2005,40 to 49,2.0,18.0,1.0,10.0,31.0
2005,50 to 59,0.0,20.0,0.0,4.0,24.0
2005,60 to 69,0.0,22.0,0.0,2.0,24.0
2005,70 to 79,1.0,5.0,0.0,0.0,6.0
2005,80 to 89,0.0,6.0,0.0,0.0,6.0
2006,18 to 20,0.0,0.0,0.0,2.0,2.0
2006,21 to 24,0.0,0.0,0.0,4.0,4.0
2006,25 to 29,0.0,1.0,1.0,10.0,12.0
2006,30 to 39,0.0,13.0,2.0,28.0,43.0
2006,40 to 49,0.0,15.0,1.0,12.0,28.0
2006,50 to 59,0.0,20.0,0.0,7.0,27.0
2006,60 to 69,0.0,18.0,0.0,3.0,21.0
2006,70 to 79,0.0,11.0,0.0,0.0,11.0
2006,80 to 89,0.0,5.0,0.0,0.0,5.0
2007,15 to 17,0.0,0.0,0.0,1.0,1.0
2007,18 to 20,0.0,2.0,0.0,6.0,8.0
2007,21 to 24,0.0,2.0,1.0,10.0,13.0
2007,25 to 29,1.0,1.0,0.0,18.0,20.0
2007,30 to 39,0.0,13.0,2.0,27.0,42.0
2007,40 to 49,0.0,22.0,0.0,22.0,44.0
2007,50 to 59,0.0,16.0,1.0,4.0,21.0
2007,60 to 69,0.0,12.0,0.0,3.0,15.0
2007,70 to 79,0.0,19.0,0.0,0.0,19.0
2007,80 to 89,0.0,2.0,0.0,0.0,2.0
2008,18 to 20,0.0,0.0,0.0,5.0,5.0
2008,21 to 24,0.0,1.0,1.0,7.0,9.0
2008,25 to 29,1.0,2.0,0.0,17.0,20.0
2008,30 to 39,2.0,8.0,2.0,14.0,26.0
2008,40 to 49,0.0,24.0,0.0,9.0,33.0
2008,50 to 59,0.0,22.0,0.0,7.0,29.0
2008,60 to 69,0.0,23.0,0.0,2.0,25.0
2008,70 to 79,0.0,17.0,0.0,0.0,17.0
2008,80 to 89,0.0,2.0,0.0,0.0,2.0
2009,18 to 20,0.0,0.0,0.0,5.0,5.0
