Operational Capacity,In Use CNA,Prison Name,Report_Date,Baseline CNA,Population *
1204.0,794.0,Altcourse,2012-01-27,794,1147.0
383.0,407.0,Ashfield,2012-01-27,407,313.0
128.0,126.0,Askham Grange,2012-01-27,150,122.0
444.0,424.0,Aylesbury,2012-01-27,436,432.0
506.0,322.0,Bedford,2012-01-27,322,502.0
957.0,800.0,Belmarsh,2012-01-27,800,892.0
1450.0,1093.0,Birmingham,2012-01-27,1112,1437.0
122.0,122.0,Blantyre House,2012-01-27,122,120.0
466.0,439.0,Blundeston,2012-01-27,481,461.0
577.0,545.0,Brinsford,2012-01-27,545,558.0
648.0,427.0,Bristol,2012-01-27,427,623.0
798.0,525.0,Brixton,2012-01-27,530,756.0
527.0,527.0,Bronzefield,2012-01-27,527,508.0
445.0,410.0,Buckley Hall,2012-01-27,410,440.0
1114.0,879.0,Bullingdon,2012-01-27,879,1091.0
241.0,220.0,Bullwood Hall,2012-01-27,220,239.0
523.0,503.0,Bure,2012-01-27,503,514.0
314.0,195.0,Canterbury,2012-01-27,195,300.0
814.0,539.0,Cardiff,2012-01-27,554,813.0
751.0,698.0,Channings Wood,2012-01-27,698,752.0
752.0,554.0,Chelmsford,2012-01-27,554,730.0
513.0,493.0,Coldingley,2012-01-27,494,510.0
143.0,143.0,Cookham Wood,2012-01-27,143,118.0
652.0,635.0,Dartmoor,2012-01-27,641,630.0
513.0,513.0,Deerbolt,2012-01-27,513,477.0
1145.0,713.0,Doncaster,2012-01-27,713,1122.0
271.0,148.0,Dorchester,2012-01-27,210,242.0
1135.0,1060.0,Dovegate,2012-01-27,1064,1116.0
357.0,339.0,Downview,2012-01-27,359,314.0
315.0,315.0,Drake Hall,2012-01-27,315,298.0
1017.0,606.0,Durham,2012-01-27,606,916.0
100.0,98.0,East Sutton Park,2012-01-27,98,85.0
363.0,333.0,Eastwood Park,2012-01-27,333,326.0
1252.0,943.0,Elmley (Sheppey),2012-01-27,943,1182.0
689.0,603.0,Everthorpe,2012-01-27,603,677.0
550.0,316.0,Exeter,2012-01-27,325,508.0
687.0,671.0,Featherstone,2012-01-27,671,683.0
762.0,762.0,Feltham,2012-01-27,762,709.0
521.0,521.0,Ford,2012-01-27,521,510.0
1364.0,1100.0,Forest Bank,2012-01-27,1064,1362.0
310.0,290.0,Foston Hall,2012-01-27,290,279.0
844.0,844.0,Frankland,2012-01-27,859,811.0
608.0,596.0,Full Sutton,2012-01-27,604,606.0
846.0,811.0,Garth,2012-01-27,811,836.0
677.0,677.0,Gartree,2012-01-27,677,673.0
808.0,649.0,Glen Parva,2012-01-27,649,765.0
321.0,213.0,Gloucester,2012-01-27,221,312.0
238.0,238.0,Grendon,2012-01-27,251,219.0
509.0,452.0,Guys Marsh,2012-01-27,520,489.0
266.0,266.0,Hatfield,2012-01-27,260,259.0
644.0,622.0,Haverigg,2012-01-27,622,631.0
1261.0,1003.0,Hewell,2012-01-27,1173,1226.0
1103.0,999.0,High Down,2012-01-27,999,1104.0
1335.0,1271.0,Highpoint (North and South),2012-01-27,1299,1324.0
506.0,506.0,Hindley,2012-01-27,506,287.0
365.0,365.0,Hollesley Bay,2012-01-27,365,364.0
591.0,533.0,Holloway,2012-01-27,540,533.0
1212.0,1034.0,Holme House,2012-01-27,1034,1122.0
1044.0,723.0,Hull,2012-01-27,723,961.0
430.0,430.0,Huntercombe,2012-01-27,370,411.0
